ID,LATITUDE,LONGITUDE,ELEVATION,2018_MB,2019_MB,2020_MB,2021_MB,2022_MB,2023_MB,2024_MB,Total_Size_MB
USC00518945,21.4967,-158.0497,260.3,2.0,3.0,3.0,0.399,,,,
USC00518964,21.4705,-157.8836,227.1,0.462,2.0,3.0,0.404,0.088,0.102,0.027,
USC00518966,22.0219,-159.4644,237.7,3.0,3.0,3.0,0.033,,,,
USC00519195,21.5747,-158.1204,3.0,2.0,3.0,3.0,0.408,,,,
USC00519335,20.8089,-156.2299,1316.7,1.0,2.0,0.658,,,,,
USC00519376,20.8536,-156.5088,147.2,3.0,3.0,4.0,0.418,0.106,0.088,0.048,
USC00519500,21.2918,-157.7534,61.0,3.0,3.0,2.0,,,,,
USC00519534,21.3357,-157.7116,20.1,,,,,0.119,0.1,0.058,
USC00519593,21.6262,-158.0675,93.6,3.0,2.0,,,,,,
USC00660984,18.2422,-66.358,563.9,3.0,3.0,2.0,0.124,,,,
USC00660988,18.1925,-66.3502,685.8,3.0,3.0,3.0,0.318,,,,
USC00663113,18.2687,-65.8675,497.7,3.0,3.0,3.0,0.327,,,,
USC00665258,18.1963,-65.865,82.3,2.0,3.0,2.0,0.328,,,,
USC00666942,18.22,-65.8258,100.6,0.119,1.0,3.0,0.328,,,,
USC00668816,18.185,-65.9294,140.2,0.081,2.0,2.0,0.134,,,,
USC00678360,18.3394,-64.7758,189.3,,,,,,,,
USC00914200,13.3619,144.7061,18.3,3.0,2.0,3.0,0.339,,,,
USC00914670,13.4619,144.6894,3.0,3.0,3.0,3.0,0.341,,,,
USI0000K00U,45.7444,-107.6604,922.0,,,12.0,13.0,12.0,2.0,7.0,
USI0000K01M,34.4917,-88.2011,176.2,,,,,,,,
USI0000K06C,41.9893,-88.1012,244.1,14.0,14.0,14.0,13.0,14.0,14.0,7.0,90.0
USI0000K0A0,32.9895,-106.9695,1401.0,,,8.0,14.0,14.0,14.0,6.0,
USI0000K0R0,31.297,-89.8128,80.8,12.0,11.0,13.0,12.0,13.0,13.0,6.0,80.0
USI0000K0R4,31.5668,-91.5001,16.5,14.0,14.0,14.0,13.0,11.0,5.0,6.0,77.0
USI0000K0S9,48.0538,-122.8106,32.9,14.0,14.0,14.0,14.0,14.0,13.0,7.0,90.0
USI0000K0V4,37.1417,-79.0164,181.7,14.0,14.0,14.0,10.0,11.0,14.0,7.0,84.0
USI0000K13K,37.85,-96.2833,368.0,1.0,14.0,14.0,14.0,13.0,13.0,6.0,
USI0000K17J,31.0069,-84.8776,44.8,14.0,14.0,,14.0,14.0,14.0,5.0,
USI0000K18A,34.3401,-83.1335,262.1,11.0,12.0,14.0,14.0,14.0,14.0,6.0,85.0
USI0000K19S,37.4914,-100.8296,886.0,14.0,14.0,14.0,14.0,14.0,14.0,7.0,91.0
USI0000K1A9,32.4387,-86.5127,68.6,14.0,14.0,14.0,14.0,14.0,14.0,7.0,91.0
USI0000K1L0,30.087,-90.5826,2.1,,,,,,,,
USI0000K1M5,36.5928,-86.4767,249.3,14.0,10.0,14.0,13.0,13.0,13.0,6.0,83.0
USI0000K1O5,41.7304,-122.5456,770.2,,,,,,,,
USI0000K1S5,46.3271,-119.9704,232.9,13.0,14.0,14.0,14.0,14.0,14.0,7.0,90.0
USI0000K1U7,42.2472,-111.3383,1806.8,,13.0,13.0,13.0,13.0,13.0,6.0,
USI0000K1V6,38.428,-105.1058,1657.8,8.0,8.0,9.0,14.0,14.0,14.0,7.0,74.0
USI0000K22N,40.8095,-75.7615,162.8,13.0,15.0,12.0,14.0,14.0,13.0,7.0,88.0
USI0000K24A,35.3174,-83.2099,870.8,13.0,14.0,14.0,13.0,14.0,12.0,7.0,87.0
USI0000K24J,30.3001,-83.0247,31.7,14.0,14.0,14.0,13.0,13.0,11.0,5.0,84.0
USI0000K27K,38.2344,-84.4347,288.6,7.0,10.0,11.0,13.0,13.0,12.0,6.0,72.0
USI0000K28J,29.6586,-81.6889,14.9,12.0,13.0,9.0,11.0,13.0,14.0,7.0,79.0
USI0000K2A0,35.4862,-84.9311,219.1,13.0,13.0,13.0,13.0,13.0,13.0,6.0,84.0
USI0000K2CB,29.9525,-81.9797,59.7,,,,,,,,
USI0000K2DP,35.6667,-75.9,0.9,9.0,8.0,8.0,9.0,8.0,7.0,4.0,53.0
USI0000K2G9,40.0391,-79.0146,692.5,14.0,14.0,14.0,14.0,14.0,12.0,7.0,89.0
USI0000K2IS,26.742,-81.0498,6.1,,3.0,14.0,14.0,12.0,11.0,3.0,
USI0000K2J3,32.9865,-82.3857,100.0,14.0,14.0,14.0,14.0,14.0,9.0,,79.0
USI0000K2J5,32.8936,-81.9654,72.2,0.733,14.0,14.0,13.0,14.0,14.0,7.0,
USI0000K2M2,35.2343,-87.2579,285.3,7.0,14.0,14.0,14.0,14.0,14.0,6.0,83.0
USI0000K2P2,45.3883,-86.924,199.0,14.0,14.0,14.0,14.0,14.0,14.0,7.0,91.0
USI0000K2R9,28.825,-97.8656,88.1,,6.0,14.0,13.0,12.0,14.0,7.0,
USI0000K2V6,40.1042,-102.713,1260.7,14.0,13.0,13.0,13.0,11.0,14.0,7.0,85.0
USI0000K33N,39.2184,-75.5964,17.1,4.0,14.0,14.0,14.0,13.0,13.0,4.0,76.0
USI0000K35A,34.687,-81.6412,185.9,,,,13.0,13.0,14.0,7.0,
USI0000K3A6,34.37,-118.57,427.0,,,,,,,,
USI0000K3AU,37.6716,-97.0779,404.8,14.0,14.0,14.0,14.0,14.0,14.0,6.0,90.0
USI0000K3D2,45.1333,-87.1833,232.6,14.0,14.0,14.0,14.0,13.0,14.0,6.0,89.0
USI0000K3F3,32.0735,-93.7655,98.8,14.0,14.0,14.0,14.0,14.0,14.0,7.0,91.0
USI0000K3K3,37.9833,-101.7476,1014.0,14.0,14.0,14.0,14.0,14.0,14.0,7.0,91.0
USI0000K3K8,37.2281,-99.3309,635.5,,4.0,8.0,7.0,2.0,,,
USI0000K3MW,40.46,-106.76,3241.0,,,,,,,,
USI0000K3N8,47.2605,-95.9281,379.0,14.0,11.0,17.0,14.0,14.0,14.0,7.0,91.0
USI0000K3S8,42.5101,-123.388,343.2,13.0,14.0,13.0,14.0,13.0,13.0,7.0,87.0
USI0000K40G,35.6506,-112.1481,1828.5,,,,,,,,
USI0000K41U,39.3291,-111.6146,1679.1,,8.0,14.0,11.0,14.0,14.0,6.0,
USI0000K44N,41.7074,-73.738,213.4,,,,,,,,
USI0000K46A,34.85,-84.0,582.5,,,,,,,,
USI0000K46U,43.1846,-111.0424,1717.2,13.0,14.0,14.0,14.0,14.0,13.0,6.0,88.0
USI0000K48A,32.3994,-83.2759,102.4,,14.0,14.0,14.0,14.0,14.0,7.0,
USI0000K49A,34.6279,-84.5249,452.9,14.0,14.0,14.0,14.0,14.0,14.0,7.0,91.0
USI0000K4C0,29.7833,-93.1833,1.0,,,,,,,,
USI0000K4CR,34.1,-105.6667,1981.0,,,,,,,,
USI0000K4F2,32.1761,-94.2988,75.6,,4.0,14.0,14.0,14.0,13.0,6.0,
USI0000K4HV,38.37,-110.72,1314.0,,,,,,,,
USI0000K4I7,39.6303,-86.8139,256.6,,,,,,,,
USI0000K4MR,34.2954,-103.7858,1326.0,6.0,6.0,6.0,2.0,4.0,6.0,3.0,
USI0000K4R5,46.7887,-90.7587,197.8,13.0,14.0,14.0,14.0,14.0,14.0,7.0,90.0
USI0000K4S1,42.4134,-124.4243,5.5,2.0,14.0,14.0,14.0,13.0,14.0,7.0,
USI0000K4S2,45.672,-121.5364,192.3,13.0,13.0,13.0,12.0,12.0,13.0,6.0,82.0
USI0000K4V0,40.094,-108.763,1607.8,14.0,14.0,14.0,14.0,12.0,14.0,7.0,89.0
USI0000K4V1,37.6966,-104.7851,1844.0,,,,10.0,14.0,8.0,6.0,
USI0000K54A,26.85,-82.25,1.2,8.0,13.0,13.0,13.0,12.0,13.0,6.0,78.0
USI0000K54J,30.7313,-86.1516,88.1,10.0,10.0,14.0,13.0,12.0,13.0,6.0,78.0
USI0000K57C,42.7972,-88.3726,262.1,14.0,14.0,14.0,14.0,14.0,14.0,7.0,91.0
USI0000K5A6,33.4654,-89.7292,110.6,14.0,13.0,11.0,12.0,12.0,14.0,6.0,82.0
USI0000K5M9,37.3343,-88.1151,198.7,13.0,2.0,,0.063,11.0,,,
USI0000K5T9,28.8572,-100.5123,267.6,14.0,14.0,8.0,10.0,13.0,11.0,7.0,77.0
USI0000K63S,48.5442,-117.8835,575.0,,,3.0,13.0,13.0,14.0,7.0,
USI0000K66R,29.6411,-96.5158,73.8,13.0,14.0,13.0,14.0,14.0,14.0,7.0,89.0
USI0000K6B9,42.914,-76.4408,316.4,14.0,14.0,14.0,13.0,13.0,13.0,7.0,88.0
USI0000K6I2,37.6335,-85.2418,264.0,13.0,13.0,14.0,12.0,14.0,14.0,7.0,87.0
USI0000K6L4,37.8557,-81.9159,508.1,13.0,13.0,14.0,13.0,13.0,12.0,6.0,84.0
USI0000K6S0,45.8064,-109.9811,1369.2,13.0,14.0,14.0,13.0,14.0,13.0,6.0,87.0
USI0000K6S2,43.9828,-124.1114,15.5,12.0,10.0,14.0,14.0,14.0,14.0,7.0,85.0
USI0000K6S8,45.7031,-108.7611,1072.0,,,13.0,12.0,15.0,13.0,8.0,
USI0000K74V,40.2783,-110.0513,1576.4,12.0,14.0,13.0,7.0,4.0,11.0,7.0,68.0
USI0000K77S,43.9308,-123.0073,164.0,,7.0,14.0,13.0,14.0,14.0,6.0,
USI0000K7R4,29.7667,-92.1167,5.0,,,,,,,,
USI0000K7W4,37.9667,-77.75,107.0,14.0,14.0,14.0,13.0,12.0,13.0,7.0,87.0
USI0000K7W6,35.5624,-75.9552,2.4,12.0,11.0,11.0,11.0,8.0,13.0,7.0,73.0
USI0000K81R,31.2352,-98.717,380.7,,,0.617,14.0,14.0,14.0,7.0,
USI0000K82C,43.8387,-90.1377,276.1,14.0,14.0,14.0,14.0,14.0,14.0,7.0,91.0
