Object,URL,Last_Modified,Timestamp,Size,Page
LCD_ACL000BARA9_2022.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2022/LCD_ACL000BARA9_2022.csv,2 months ago,2024/8/10 7:27,4 MB,1
LCD_ACW00011647_2022.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2022/LCD_ACW00011647_2022.csv,2 months ago,2024/8/10 7:25,5 MB,1
LCD_AEI0000OMAA_2022.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2022/LCD_AEI0000OMAA_2022.csv,2 months ago,2024/8/10 7:27,5 MB,1
LCD_AEI0000OMAD_2022.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2022/LCD_AEI0000OMAD_2022.csv,2 months ago,2024/8/10 7:27,5 MB,1
LCD_AEI0000OMAL_2022.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2022/LCD_AEI0000OMAL_2022.csv,2 months ago,2024/8/10 7:27,5 MB,1
LCD_AEI0000OMDB_2022.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2022/LCD_AEI0000OMDB_2022.csv,2 months ago,2024/8/10 7:25,5 MB,1
LCD_AEI0000OMDL_2022.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2022/LCD_AEI0000OMDL_2022.csv,2 months ago,2024/8/10 7:27,71 KB,1
LCD_AEI0000OMFJ_2022.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2022/LCD_AEI0000OMFJ_2022.csv,2 months ago,2024/8/10 7:27,9 MB,1
LCD_AEI0000OMLW_2022.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2022/LCD_AEI0000OMLW_2022.csv,2 months ago,2024/8/10 7:27,136 KB,1
LCD_AEI0000OMSJ_2022.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2022/LCD_AEI0000OMSJ_2022.csv,2 months ago,2024/8/10 7:27,5 MB,1
LCD_AFI0000OAQN_2022.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2022/LCD_AFI0000OAQN_2022.csv,2 months ago,2024/8/10 7:27,4 KB,1
