Object,URL,Last_Modified,Timestamp,Size,Page
LCD_AGI0000DATM_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AGI0000DATM_2021.csv,2 months ago,2024/8/10 6:36,2 MB,1
LCD_AGI0000DAUI_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AGI0000DAUI_2021.csv,2 months ago,2024/8/10 6:36,4 MB,1
LCD_AGI0000DAUK_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AGI0000DAUK_2021.csv,2 months ago,2024/8/10 6:36,4 MB,1
LCD_AGI0000DAUT_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AGI0000DAUT_2021.csv,2 months ago,2024/8/10 6:36,4 MB,1
LCD_AGM00060353_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AGM00060353_2021.csv,2 months ago,2024/8/10 6:36,5 MB,1
LCD_AGM00060368_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AGM00060368_2021.csv,2 months ago,2024/8/10 6:36,512 KB,1
LCD_AGM00060369_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AGM00060369_2021.csv,2 months ago,2024/8/10 6:36,1 MB,1
LCD_AGM00060370_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AGM00060370_2021.csv,2 months ago,2024/8/10 6:36,547 KB,1
LCD_AGM00060371_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AGM00060371_2021.csv,2 months ago,2024/8/10 6:36,540 KB,1
LCD_AGM00060372_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AGM00060372_2021.csv,2 months ago,2024/8/10 6:36,553 KB,1
LCD_AGM00060373_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AGM00060373_2021.csv,2 months ago,2024/8/10 6:35,545 KB,1
LCD_AGM00060374_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AGM00060374_2021.csv,2 months ago,2024/8/10 6:36,543 KB,1
LCD_AGM00060376_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AGM00060376_2021.csv,2 months ago,2024/8/10 6:36,568 KB,1
LCD_AGM00060379_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AGM00060379_2021.csv,2 months ago,2024/8/10 6:36,567 KB,1
