ID,Reason
56,"DepDelay > threshold, ArrDelay > threshold"
58,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
66,ArrDelay > threshold
86,"DepDelay > threshold, ArrDelay > threshold"
88,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
142,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
147,ArrDelay > threshold
154,"DepDelay > threshold, ArrDelay > threshold"
176,ArrDelay > threshold
234,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
243,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
282,DepDelay > threshold
316,"DepDelay > threshold, ArrDelay > threshold"
328,ArrDelay > threshold
425,"DepDelay > threshold, ArrDelay > threshold"
444,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
445,"DepDelay > threshold, ArrDelay > threshold"
540,DepDelay > threshold
563,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
578,DepDelay > threshold
608,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
642,"DepDelay > threshold, ArrDelay > threshold"
644,"DepDelay > threshold, ArrDelay > threshold"
656,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
659,"DepDelay > threshold, ArrDelay > threshold"
667,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
669,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
753,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
756,"DepDelay > threshold, ArrDelay > threshold"
759,"DepDelay > threshold, ArrDelay > threshold"
761,"DepDelay > threshold, ArrDelay > threshold"
763,"DepDelay > threshold, ArrDelay > threshold"
776,"DepDelay > threshold, ArrDelay > threshold"
778,"DepDelay > threshold, ArrDelay > threshold"
786,"DepDelay > threshold, ArrDelay > threshold"
805,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
825,"DepDelay > threshold, ArrDelay > threshold"
830,"DepDelay > threshold, ArrDelay > threshold"
839,"DepDelay > threshold, ArrDelay > threshold"
847,"DepDelay > threshold, ArrDelay > threshold"
851,"DepDelay > threshold, ArrDelay > threshold"
854,DepDelay > threshold
865,DepDelay > threshold
877,"DepDelay > threshold, ArrDelay > threshold"
888,"DepDelay > threshold, ArrDelay > threshold"
890,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
901,"DepDelay > threshold, ArrDelay > threshold"
927,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
933,"DepDelay > threshold, ArrDelay > threshold"
935,"ArrDelay > threshold, NASDelay > threshold"
948,"DepDelay > threshold, ArrDelay > threshold"
971,"DepDelay > threshold, ArrDelay > threshold"
980,DepDelay > threshold
1116,ArrDelay > threshold
1132,DepDelay > threshold
1141,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1232,DepDelay > threshold
1297,"DepDelay > threshold, ArrDelay > threshold"
1336,DepDelay > threshold
1363,"DepDelay > threshold, ArrDelay > threshold"
1376,"DepDelay > threshold, ArrDelay > threshold"
1387,"DepDelay > threshold, ArrDelay > threshold"
1405,"DepDelay > threshold, ArrDelay > threshold"
1407,"DepDelay > threshold, ArrDelay > threshold"
1431,"DepDelay > threshold, ArrDelay > threshold"
1444,"DepDelay > threshold, ArrDelay > threshold"
1447,"DepDelay > threshold, ArrDelay > threshold"
1456,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1470,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
1481,"DepDelay > threshold, ArrDelay > threshold"
1482,"DepDelay > threshold, ArrDelay > threshold"
1484,"DepDelay > threshold, ArrDelay > threshold"
1525,"DepDelay > threshold, ArrDelay > threshold"
1526,"DepDelay > threshold, ArrDelay > threshold"
1552,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1561,"DepDelay > threshold, ArrDelay > threshold"
1604,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1676,DepDelay > threshold
1862,DepDelay > threshold
1877,"DepDelay > threshold, ArrDelay > threshold"
1878,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1899,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1902,ArrDelay > threshold
1941,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1951,ArrDelay > threshold
1955,"DepDelay > threshold, ArrDelay > threshold"
1969,"DepDelay > threshold, ArrDelay > threshold"
2006,"DepDelay > threshold, ArrDelay > threshold"
2084,"DepDelay > threshold, ArrDelay > threshold"
2123,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2167,DepDelay > threshold
2381,"DepDelay > threshold, ArrDelay > threshold"
2425,"DepDelay > threshold, ArrDelay > threshold"
2445,"DepDelay > threshold, ArrDelay > threshold"
2456,"DepDelay > threshold, ArrDelay > threshold"
2478,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
2487,"DepDelay > threshold, ArrDelay > threshold"
2492,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2505,"DepDelay > threshold, ArrDelay > threshold"
2525,DepDelay > threshold
2526,"DepDelay > threshold, ArrDelay > threshold"
2530,"DepDelay > threshold, ArrDelay > threshold"
2534,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2538,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2547,"DepDelay > threshold, ArrDelay > threshold"
2562,"DepDelay > threshold, ArrDelay > threshold"
2563,"DepDelay > threshold, ArrDelay > threshold"
2564,"ArrDelay > threshold, NASDelay > threshold"
2570,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2602,"DepDelay > threshold, ArrDelay > threshold"
2623,"DepDelay > threshold, ArrDelay > threshold"
2644,"DepDelay > threshold, ArrDelay > threshold"
2652,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
2672,"DepDelay > threshold, ArrDelay > threshold"
2685,"DepDelay > threshold, ArrDelay > threshold"
2690,"DepDelay > threshold, ArrDelay > threshold"
2694,"DepDelay > threshold, ArrDelay > threshold"
2698,"DepDelay > threshold, ArrDelay > threshold"
2711,DepDelay > threshold
2723,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
2759,"DepDelay > threshold, ArrDelay > threshold"
2780,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2787,"DepDelay > threshold, ArrDelay > threshold"
2788,DepDelay > threshold
2793,"DepDelay > threshold, ArrDelay > threshold"
2804,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2810,"DepDelay > threshold, ArrDelay > threshold"
2811,"DepDelay > threshold, ArrDelay > threshold"
2823,"DepDelay > threshold, ArrDelay > threshold"
2826,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2845,"DepDelay > threshold, ArrDelay > threshold"
2891,ArrDelay > threshold
2905,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2916,"DepDelay > threshold, ArrDelay > threshold"
2925,"DepDelay > threshold, ArrDelay > threshold"
2957,"DepDelay > threshold, ArrDelay > threshold"
2959,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2979,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2980,ArrDelay > threshold
2981,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3000,ArrDelay > threshold
3005,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3006,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3007,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3008,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3015,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3034,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3045,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3058,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3065,"DepDelay > threshold, ArrDelay > threshold"
3066,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3067,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3069,"DepDelay > threshold, ArrDelay > threshold"
3073,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3074,"DepDelay > threshold, ArrDelay > threshold"
3077,"DepDelay > threshold, ArrDelay > threshold"
3079,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3085,ArrDelay > threshold
3087,DepDelay > threshold
3090,"ArrDelay > threshold, NASDelay > threshold"
3093,"DepDelay > threshold, ArrDelay > threshold"
3097,"DepDelay > threshold, ArrDelay > threshold"
3106,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3110,DepDelay > threshold
3113,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3114,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3123,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3128,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3145,ArrDelay > threshold
3148,DepDelay > threshold
3153,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3159,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3167,"DepDelay > threshold, ArrDelay > threshold"
3170,"DepDelay > threshold, ArrDelay > threshold"
3180,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3182,DepDelay > threshold
3190,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3196,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
