ID,Reason
4,DepDelay > threshold
10,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
26,"DepDelay > threshold, ArrDelay > threshold"
46,"DepDelay > threshold, ArrDelay > threshold"
64,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
72,DepDelay > threshold
75,"DepDelay > threshold, ArrDelay > threshold"
101,"DepDelay > threshold, ArrDelay > threshold"
117,"DepDelay > threshold, ArrDelay > threshold"
122,"DepDelay > threshold, ArrDelay > threshold"
135,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
158,"DepDelay > threshold, ArrDelay > threshold"
167,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
169,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
179,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
185,"DepDelay > threshold, ArrDelay > threshold"
192,"DepDelay > threshold, ArrDelay > threshold"
204,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
205,"DepDelay > threshold, ArrDelay > threshold"
211,"DepDelay > threshold, ArrDelay > threshold"
226,"DepDelay > threshold, ArrDelay > threshold"
230,"DepDelay > threshold, ArrDelay > threshold"
250,"DepDelay > threshold, ArrDelay > threshold"
293,"DepDelay > threshold, ArrDelay > threshold"
331,"DepDelay > threshold, ArrDelay > threshold"
510,"DepDelay > threshold, ArrDelay > threshold"
605,"DepDelay > threshold, ArrDelay > threshold"
608,"DepDelay > threshold, ArrDelay > threshold"
614,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
615,"DepDelay > threshold, ArrDelay > threshold"
629,DepDelay > threshold
642,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
645,"DepDelay > threshold, ArrDelay > threshold"
657,DepDelay > threshold
692,DepDelay > threshold
697,DepDelay > threshold
704,"DepDelay > threshold, ArrDelay > threshold"
705,"DepDelay > threshold, ArrDelay > threshold"
710,"DepDelay > threshold, ArrDelay > threshold"
716,DepDelay > threshold
717,"DepDelay > threshold, ArrDelay > threshold"
726,ArrDelay > threshold
727,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
731,"DepDelay > threshold, ArrDelay > threshold"
739,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
760,"DepDelay > threshold, ArrDelay > threshold"
766,"DepDelay > threshold, ArrDelay > threshold"
796,"DepDelay > threshold, ArrDelay > threshold"
800,"DepDelay > threshold, ArrDelay > threshold"
836,"DepDelay > threshold, ArrDelay > threshold"
838,"DepDelay > threshold, ArrDelay > threshold"
869,"DepDelay > threshold, ArrDelay > threshold"
970,"ArrDelay > threshold, NASDelay > threshold"
1067,"DepDelay > threshold, ArrDelay > threshold"
1073,"DepDelay > threshold, ArrDelay > threshold"
1121,"DepDelay > threshold, ArrDelay > threshold"
1123,"DepDelay > threshold, ArrDelay > threshold"
1217,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1218,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1222,"DepDelay > threshold, ArrDelay > threshold"
1234,"DepDelay > threshold, ArrDelay > threshold"
1254,"DepDelay > threshold, ArrDelay > threshold"
1269,"DepDelay > threshold, ArrDelay > threshold"
1273,"DepDelay > threshold, ArrDelay > threshold"
1276,DepDelay > threshold
1305,"DepDelay > threshold, ArrDelay > threshold"
1320,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1331,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1332,"DepDelay > threshold, ArrDelay > threshold"
1350,"DepDelay > threshold, ArrDelay > threshold"
1356,"DepDelay > threshold, ArrDelay > threshold"
1362,DepDelay > threshold
1381,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1397,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1403,DepDelay > threshold
1411,"DepDelay > threshold, ArrDelay > threshold"
1419,DepDelay > threshold
1428,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1434,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1438,"DepDelay > threshold, ArrDelay > threshold"
1452,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1765,"DepDelay > threshold, ArrDelay > threshold"
1810,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1896,DepDelay > threshold
1903,ArrDelay > threshold
1925,"DepDelay > threshold, ArrDelay > threshold"
1944,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1961,"DepDelay > threshold, ArrDelay > threshold"
1968,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1975,"DepDelay > threshold, ArrDelay > threshold"
1981,"DepDelay > threshold, ArrDelay > threshold"
1982,"DepDelay > threshold, ArrDelay > threshold"
1983,"DepDelay > threshold, ArrDelay > threshold"
1986,"DepDelay > threshold, ArrDelay > threshold"
1992,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1995,DepDelay > threshold
2029,"DepDelay > threshold, ArrDelay > threshold"
2053,"DepDelay > threshold, ArrDelay > threshold"
2059,"DepDelay > threshold, ArrDelay > threshold"
2073,DepDelay > threshold
2077,"DepDelay > threshold, ArrDelay > threshold"
2082,"DepDelay > threshold, ArrDelay > threshold"
2094,"DepDelay > threshold, ArrDelay > threshold"
2110,"DepDelay > threshold, ArrDelay > threshold"
2111,"DepDelay > threshold, ArrDelay > threshold"
2428,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2574,"DepDelay > threshold, ArrDelay > threshold"
2600,"DepDelay > threshold, ArrDelay > threshold"
2617,"DepDelay > threshold, ArrDelay > threshold"
2637,"DepDelay > threshold, ArrDelay > threshold"
2669,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2684,DepDelay > threshold
2709,"DepDelay > threshold, ArrDelay > threshold"
2711,"DepDelay > threshold, ArrDelay > threshold"
2719,"DepDelay > threshold, ArrDelay > threshold"
2740,"DepDelay > threshold, ArrDelay > threshold"
2742,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2743,"DepDelay > threshold, ArrDelay > threshold"
2748,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2752,DepDelay > threshold
2757,"DepDelay > threshold, ArrDelay > threshold"
2782,"DepDelay > threshold, ArrDelay > threshold"
2787,"DepDelay > threshold, ArrDelay > threshold"
2819,"DepDelay > threshold, ArrDelay > threshold"
2823,"DepDelay > threshold, ArrDelay > threshold"
2850,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2853,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
2873,"DepDelay > threshold, ArrDelay > threshold"
2888,"DepDelay > threshold, ArrDelay > threshold"
2920,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2927,"DepDelay > threshold, ArrDelay > threshold"
3020,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3032,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3163,"DepDelay > threshold, ArrDelay > threshold"
3171,"DepDelay > threshold, ArrDelay > threshold"
3270,"DepDelay > threshold, ArrDelay > threshold"
3450,DepDelay > threshold
3458,"DepDelay > threshold, ArrDelay > threshold"
3470,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3471,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3484,"DepDelay > threshold, ArrDelay > threshold"
3490,"DepDelay > threshold, ArrDelay > threshold"
3493,"DepDelay > threshold, ArrDelay > threshold"
3528,"DepDelay > threshold, ArrDelay > threshold"
3581,DepDelay > threshold
3584,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3587,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3598,"DepDelay > threshold, ArrDelay > threshold"
3601,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3606,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3611,"DepDelay > threshold, ArrDelay > threshold"
3630,"DepDelay > threshold, ArrDelay > threshold"
3633,"DepDelay > threshold, ArrDelay > threshold"
3637,DepDelay > threshold
3638,"DepDelay > threshold, ArrDelay > threshold"
3639,"DepDelay > threshold, ArrDelay > threshold"
3641,"DepDelay > threshold, ArrDelay > threshold"
3642,"DepDelay > threshold, ArrDelay > threshold"
3648,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3651,"DepDelay > threshold, ArrDelay > threshold"
3652,"DepDelay > threshold, ArrDelay > threshold"
3669,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3679,ArrDelay > threshold
3704,"DepDelay > threshold, ArrDelay > threshold"
3705,"ArrDelay > threshold, NASDelay > threshold"
3714,"DepDelay > threshold, ArrDelay > threshold"
3716,"DepDelay > threshold, ArrDelay > threshold"
3719,"DepDelay > threshold, ArrDelay > threshold"
3721,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3728,"DepDelay > threshold, ArrDelay > threshold"
3739,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3740,"DepDelay > threshold, ArrDelay > threshold"
3744,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3776,"DepDelay > threshold, ArrDelay > threshold"
3807,ArrDelay > threshold
3885,"DepDelay > threshold, ArrDelay > threshold"
3890,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3896,ArrDelay > threshold
3924,"DepDelay > threshold, ArrDelay > threshold"
3927,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3948,DepDelay > threshold
3985,"DepDelay > threshold, ArrDelay > threshold"
4018,"DepDelay > threshold, ArrDelay > threshold"
4051,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4062,"DepDelay > threshold, ArrDelay > threshold"
4090,"DepDelay > threshold, ArrDelay > threshold"
4129,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4178,DepDelay > threshold
4246,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
4310,ArrDelay > threshold
4321,DepDelay > threshold
4386,ArrDelay > threshold
4410,"DepDelay > threshold, ArrDelay > threshold"
4471,"DepDelay > threshold, ArrDelay > threshold"
4514,ArrDelay > threshold
4541,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4556,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4567,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4574,"DepDelay > threshold, ArrDelay > threshold"
4602,DepDelay > threshold
4609,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4610,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4627,"DepDelay > threshold, ArrDelay > threshold"
4635,"DepDelay > threshold, ArrDelay > threshold"
4645,"DepDelay > threshold, ArrDelay > threshold"
4649,"DepDelay > threshold, ArrDelay > threshold"
4665,"DepDelay > threshold, ArrDelay > threshold"
4669,"DepDelay > threshold, ArrDelay > threshold"
4673,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4685,"DepDelay > threshold, ArrDelay > threshold"
4697,"DepDelay > threshold, ArrDelay > threshold"
4702,"DepDelay > threshold, ArrDelay > threshold"
4710,"DepDelay > threshold, ArrDelay > threshold"
4731,"DepDelay > threshold, ArrDelay > threshold"
4733,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4734,"DepDelay > threshold, ArrDelay > threshold"
4735,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4749,ArrDelay > threshold
4777,ArrDelay > threshold
4781,"DepDelay > threshold, ArrDelay > threshold"
4797,"DepDelay > threshold, ArrDelay > threshold"
4826,"DepDelay > threshold, ArrDelay > threshold"
4830,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4831,"DepDelay > threshold, ArrDelay > threshold"
4836,"DepDelay > threshold, ArrDelay > threshold"
4971,DepDelay > threshold
4998,"DepDelay > threshold, ArrDelay > threshold"
5034,"DepDelay > threshold, ArrDelay > threshold"
5049,"DepDelay > threshold, ArrDelay > threshold"
5063,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
5076,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
5117,"DepDelay > threshold, ArrDelay > threshold"
5122,"DepDelay > threshold, ArrDelay > threshold"
5192,"DepDelay > threshold, ArrDelay > threshold"
5194,DepDelay > threshold
5203,"DepDelay > threshold, ArrDelay > threshold"
