ID,Reason
1,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
21,"ArrDelay > threshold, NASDelay > threshold"
27,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
56,"DepDelay > threshold, ArrDelay > threshold"
62,"DepDelay > threshold, ArrDelay > threshold"
69,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
92,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
200,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
230,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
285,DepDelay > threshold
293,"DepDelay > threshold, ArrDelay > threshold"
314,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
365,ArrDelay > threshold
402,"DepDelay > threshold, ArrDelay > threshold"
460,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
499,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
500,"DepDelay > threshold, ArrDelay > threshold"
551,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
563,"DepDelay > threshold, ArrDelay > threshold"
604,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
612,"DepDelay > threshold, ArrDelay > threshold"
653,"DepDelay > threshold, ArrDelay > threshold"
658,"DepDelay > threshold, ArrDelay > threshold"
722,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
755,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
826,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
850,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
855,"DepDelay > threshold, ArrDelay > threshold"
904,"DepDelay > threshold, ArrDelay > threshold"
906,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
952,"DepDelay > threshold, ArrDelay > threshold"
1003,"DepDelay > threshold, ArrDelay > threshold"
1029,"DepDelay > threshold, ArrDelay > threshold"
1128,"DepDelay > threshold, ArrDelay > threshold"
1176,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1294,"ArrDelay > threshold, NASDelay > threshold"
1306,"DepDelay > threshold, ArrDelay > threshold"
1340,DepDelay > threshold
1348,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1358,"ArrDelay > threshold, NASDelay > threshold"
1370,ArrDelay > threshold
1379,"DepDelay > threshold, ArrDelay > threshold"
1380,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1393,"DepDelay > threshold, ArrDelay > threshold"
1426,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1432,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1442,"DepDelay > threshold, ArrDelay > threshold"
1444,"DepDelay > threshold, ArrDelay > threshold"
1460,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1465,"DepDelay > threshold, ArrDelay > threshold"
1467,DepDelay > threshold
1472,"DepDelay > threshold, ArrDelay > threshold"
1480,"DepDelay > threshold, ArrDelay > threshold"
1493,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1496,"ArrDelay > threshold, NASDelay > threshold"
1500,"DepDelay > threshold, ArrDelay > threshold"
1512,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1536,"DepDelay > threshold, ArrDelay > threshold"
1546,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1615,"DepDelay > threshold, ArrDelay > threshold"
1620,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1625,DepDelay > threshold
1632,"DepDelay > threshold, ArrDelay > threshold"
1656,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1664,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1681,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1682,"DepDelay > threshold, ArrDelay > threshold"
1692,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1695,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1720,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1725,DepDelay > threshold
1776,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1788,"DepDelay > threshold, ArrDelay > threshold"
1791,"DepDelay > threshold, ArrDelay > threshold"
1812,"DepDelay > threshold, ArrDelay > threshold"
1819,"ArrDelay > threshold, NASDelay > threshold"
1871,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1877,"DepDelay > threshold, ArrDelay > threshold"
1887,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1899,"ArrDelay > threshold, NASDelay > threshold"
1919,"DepDelay > threshold, ArrDelay > threshold"
1959,"DepDelay > threshold, ArrDelay > threshold"
1985,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
1986,"DepDelay > threshold, ArrDelay > threshold"
2010,"DepDelay > threshold, ArrDelay > threshold"
2011,"DepDelay > threshold, ArrDelay > threshold"
2038,DepDelay > threshold
2052,"DepDelay > threshold, ArrDelay > threshold"
2056,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2099,DepDelay > threshold
2131,"DepDelay > threshold, ArrDelay > threshold"
2134,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2147,DepDelay > threshold
2151,ArrDelay > threshold
2191,DepDelay > threshold
2221,ArrDelay > threshold
2228,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2232,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2249,"ArrDelay > threshold, NASDelay > threshold"
2255,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2259,"ArrDelay > threshold, NASDelay > threshold"
2287,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2305,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2306,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2328,"DepDelay > threshold, ArrDelay > threshold"
2350,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2381,"DepDelay > threshold, ArrDelay > threshold"
2409,"DepDelay > threshold, ArrDelay > threshold"
2414,"DepDelay > threshold, ArrDelay > threshold"
2432,ArrDelay > threshold
2436,"DepDelay > threshold, ArrDelay > threshold"
2461,"DepDelay > threshold, ArrDelay > threshold"
2484,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2533,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2568,"DepDelay > threshold, ArrDelay > threshold"
2571,"DepDelay > threshold, ArrDelay > threshold"
2629,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2676,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2691,"DepDelay > threshold, ArrDelay > threshold"
2712,"DepDelay > threshold, ArrDelay > threshold"
2772,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2906,"DepDelay > threshold, ArrDelay > threshold"
2995,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3053,"DepDelay > threshold, ArrDelay > threshold"
3399,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3416,"DepDelay > threshold, ArrDelay > threshold"
3422,"DepDelay > threshold, ArrDelay > threshold"
3455,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3491,DepDelay > threshold
3547,DepDelay > threshold
3580,DepDelay > threshold
3590,"DepDelay > threshold, ArrDelay > threshold"
3649,DepDelay > threshold
3926,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3986,"DepDelay > threshold, ArrDelay > threshold"
4049,"DepDelay > threshold, ArrDelay > threshold"
4271,"DepDelay > threshold, ArrDelay > threshold"
