ID,Reason
56,"DepDelay > threshold, ArrDelay > threshold"
67,"DepDelay > threshold, ArrDelay > threshold"
239,ArrDelay > threshold
261,"DepDelay > threshold, ArrDelay > threshold"
265,"DepDelay > threshold, ArrDelay > threshold"
276,ArrDelay > threshold
297,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
300,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
337,"DepDelay > threshold, ArrDelay > threshold"
417,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
487,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
588,"DepDelay > threshold, ArrDelay > threshold"
610,"DepDelay > threshold, ArrDelay > threshold"
655,"DepDelay > threshold, ArrDelay > threshold"
658,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
761,"DepDelay > threshold, ArrDelay > threshold"
765,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
771,"DepDelay > threshold, ArrDelay > threshold"
813,DepDelay > threshold
861,ArrDelay > threshold
894,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
913,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
928,"DepDelay > threshold, ArrDelay > threshold"
932,"DepDelay > threshold, ArrDelay > threshold"
962,"DepDelay > threshold, ArrDelay > threshold"
999,ArrDelay > threshold
1039,DepDelay > threshold
1103,DepDelay > threshold
1233,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1253,"DepDelay > threshold, ArrDelay > threshold"
1266,"DepDelay > threshold, ArrDelay > threshold"
1289,DepDelay > threshold
1317,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
1318,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
1455,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1471,"DepDelay > threshold, ArrDelay > threshold"
1489,"DepDelay > threshold, ArrDelay > threshold"
1540,"DepDelay > threshold, ArrDelay > threshold"
1618,"DepDelay > threshold, ArrDelay > threshold"
1638,"DepDelay > threshold, ArrDelay > threshold"
1671,DepDelay > threshold
1700,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1737,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1788,"DepDelay > threshold, ArrDelay > threshold"
1862,"DepDelay > threshold, ArrDelay > threshold"
1879,DepDelay > threshold
1970,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2009,DepDelay > threshold
2048,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2071,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2104,"DepDelay > threshold, ArrDelay > threshold"
2128,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2177,"DepDelay > threshold, ArrDelay > threshold"
2178,"DepDelay > threshold, ArrDelay > threshold"
2184,"DepDelay > threshold, ArrDelay > threshold"
2208,"DepDelay > threshold, ArrDelay > threshold"
2218,"DepDelay > threshold, ArrDelay > threshold"
2236,DepDelay > threshold
2253,DepDelay > threshold
2277,ArrDelay > threshold
2350,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2361,"DepDelay > threshold, ArrDelay > threshold"
2408,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2412,"DepDelay > threshold, ArrDelay > threshold"
2413,"DepDelay > threshold, ArrDelay > threshold"
2420,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
2464,ArrDelay > threshold
2482,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2517,ArrDelay > threshold
2528,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2538,ArrDelay > threshold
2558,ArrDelay > threshold
2581,ArrDelay > threshold
2615,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2616,"DepDelay > threshold, ArrDelay > threshold"
2643,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2646,DepDelay > threshold
2716,ArrDelay > threshold
2735,"DepDelay > threshold, ArrDelay > threshold"
2738,"DepDelay > threshold, ArrDelay > threshold"
2739,"DepDelay > threshold, ArrDelay > threshold"
2752,"DepDelay > threshold, ArrDelay > threshold"
2766,"DepDelay > threshold, ArrDelay > threshold"
2806,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2816,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2872,ArrDelay > threshold
2881,"ArrDelay > threshold, NASDelay > threshold"
2942,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3065,"DepDelay > threshold, ArrDelay > threshold"
3170,"DepDelay > threshold, ArrDelay > threshold"
3293,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3316,"DepDelay > threshold, ArrDelay > threshold"
3358,"DepDelay > threshold, ArrDelay > threshold"
3437,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3509,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3514,"ArrDelay > threshold, NASDelay > threshold"
3597,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3672,"DepDelay > threshold, ArrDelay > threshold"
3694,"ArrDelay > threshold, NASDelay > threshold"
3723,"DepDelay > threshold, ArrDelay > threshold"
3798,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3828,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3845,"DepDelay > threshold, ArrDelay > threshold"
3941,"DepDelay > threshold, ArrDelay > threshold"
3997,"DepDelay > threshold, ArrDelay > threshold"
4019,"DepDelay > threshold, ArrDelay > threshold"
4044,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
4052,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
4121,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4200,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4334,"DepDelay > threshold, ArrDelay > threshold"
4346,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4372,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
4389,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
4409,"DepDelay > threshold, ArrDelay > threshold"
4416,"DepDelay > threshold, ArrDelay > threshold"
4423,"DepDelay > threshold, ArrDelay > threshold"
4425,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
4590,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4652,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4679,"DepDelay > threshold, ArrDelay > threshold"
4726,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
4773,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4783,ArrDelay > threshold
4868,"DepDelay > threshold, ArrDelay > threshold"
5004,"ArrDelay > threshold, NASDelay > threshold"
5014,"DepDelay > threshold, ArrDelay > threshold"
5167,"DepDelay > threshold, ArrDelay > threshold"
5207,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
5221,"ArrDelay > threshold, NASDelay > threshold"
5245,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
5355,"DepDelay > threshold, ArrDelay > threshold"
5362,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
5416,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
5438,"DepDelay > threshold, ArrDelay > threshold"
5547,DepDelay > threshold
5548,"DepDelay > threshold, ArrDelay > threshold"
5550,"DepDelay > threshold, ArrDelay > threshold"
5579,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
5589,"DepDelay > threshold, ArrDelay > threshold"
5661,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
5707,DepDelay > threshold
5850,"ArrDelay > threshold, NASDelay > threshold"
5866,"DepDelay > threshold, ArrDelay > threshold"
5877,"DepDelay > threshold, ArrDelay > threshold"
5894,ArrDelay > threshold
5895,"DepDelay > threshold, ArrDelay > threshold"
5906,"DepDelay > threshold, ArrDelay > threshold"
5930,ArrDelay > threshold
5939,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
5960,"DepDelay > threshold, ArrDelay > threshold"
6030,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
6084,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
6097,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
6177,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
6352,"DepDelay > threshold, ArrDelay > threshold"
6381,"DepDelay > threshold, ArrDelay > threshold"
6387,"DepDelay > threshold, ArrDelay > threshold"
6398,"ArrDelay > threshold, NASDelay > threshold"
6418,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
6492,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
6503,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
6522,ArrDelay > threshold
6552,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
6562,"DepDelay > threshold, ArrDelay > threshold"
6606,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
6607,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
6621,"DepDelay > threshold, ArrDelay > threshold"
6667,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
