ID,Reason
10,DepDelay > threshold
56,DepDelay > threshold
81,"DepDelay > threshold, ArrDelay > threshold"
231,"DepDelay > threshold, ArrDelay > threshold"
269,DepDelay > threshold
276,"DepDelay > threshold, ArrDelay > threshold"
309,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
328,"DepDelay > threshold, ArrDelay > threshold"
332,"DepDelay > threshold, ArrDelay > threshold"
365,DepDelay > threshold
375,"DepDelay > threshold, ArrDelay > threshold"
491,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
502,"DepDelay > threshold, ArrDelay > threshold"
548,DepDelay > threshold
555,"DepDelay > threshold, ArrDelay > threshold"
622,"DepDelay > threshold, ArrDelay > threshold"
637,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
665,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
733,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
837,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1008,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1039,"DepDelay > threshold, ArrDelay > threshold"
1076,"DepDelay > threshold, ArrDelay > threshold"
1198,DepDelay > threshold
1217,DepDelay > threshold
1226,DepDelay > threshold
1237,DepDelay > threshold
1278,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1288,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1334,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1348,"DepDelay > threshold, ArrDelay > threshold"
1502,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1533,ArrDelay > threshold
1577,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1582,"DepDelay > threshold, ArrDelay > threshold"
1633,ArrDelay > threshold
1648,"DepDelay > threshold, ArrDelay > threshold"
1675,"DepDelay > threshold, ArrDelay > threshold"
1701,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1765,"DepDelay > threshold, ArrDelay > threshold"
1833,"DepDelay > threshold, ArrDelay > threshold"
2035,DepDelay > threshold
2087,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2238,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
2307,"DepDelay > threshold, ArrDelay > threshold"
2308,"DepDelay > threshold, ArrDelay > threshold"
2317,"DepDelay > threshold, ArrDelay > threshold"
2500,DepDelay > threshold
2537,"DepDelay > threshold, ArrDelay > threshold"
2599,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
2613,"DepDelay > threshold, ArrDelay > threshold"
2626,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2634,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2680,"DepDelay > threshold, ArrDelay > threshold"
2695,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
2731,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
2760,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2972,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3001,"DepDelay > threshold, ArrDelay > threshold"
3031,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3051,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3060,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3101,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3107,"DepDelay > threshold, ArrDelay > threshold"
3164,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3263,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3266,"DepDelay > threshold, ArrDelay > threshold"
3372,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3379,"DepDelay > threshold, ArrDelay > threshold"
3515,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3536,"DepDelay > threshold, ArrDelay > threshold"
3564,"DepDelay > threshold, ArrDelay > threshold"
3652,"DepDelay > threshold, ArrDelay > threshold"
3702,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3712,"DepDelay > threshold, ArrDelay > threshold"
3822,"DepDelay > threshold, ArrDelay > threshold"
3828,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
3895,DepDelay > threshold
3926,"DepDelay > threshold, ArrDelay > threshold"
3941,"DepDelay > threshold, ArrDelay > threshold"
4112,"ArrDelay > threshold, NASDelay > threshold"
4304,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
4321,"DepDelay > threshold, ArrDelay > threshold"
4394,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4453,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4636,"DepDelay > threshold, ArrDelay > threshold"
4658,"DepDelay > threshold, ArrDelay > threshold"
4711,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4735,"DepDelay > threshold, ArrDelay > threshold"
4781,"DepDelay > threshold, ArrDelay > threshold"
4787,"DepDelay > threshold, ArrDelay > threshold"
4802,"DepDelay > threshold, ArrDelay > threshold"
4838,DepDelay > threshold
4912,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
4973,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
5034,"DepDelay > threshold, ArrDelay > threshold"
5046,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
5093,"DepDelay > threshold, ArrDelay > threshold"
5168,"DepDelay > threshold, ArrDelay > threshold"
5192,DepDelay > threshold
5256,DepDelay > threshold
5322,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
5388,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
5412,"DepDelay > threshold, ArrDelay > threshold"
5623,"DepDelay > threshold, ArrDelay > threshold"
5661,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
5683,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
5743,"DepDelay > threshold, ArrDelay > threshold"
5751,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
5797,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
5805,"DepDelay > threshold, ArrDelay > threshold"
5826,"DepDelay > threshold, ArrDelay > threshold"
5853,"DepDelay > threshold, ArrDelay > threshold"
5984,"DepDelay > threshold, ArrDelay > threshold"
6063,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
6079,"DepDelay > threshold, ArrDelay > threshold"
6136,ArrDelay > threshold
6222,"ArrDelay > threshold, NASDelay > threshold"
6228,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
6236,"DepDelay > threshold, ArrDelay > threshold"
6423,"DepDelay > threshold, ArrDelay > threshold"
6449,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
6454,DepDelay > threshold
6486,"DepDelay > threshold, ArrDelay > threshold"
6565,DepDelay > threshold
6621,"DepDelay > threshold, ArrDelay > threshold"
6661,DepDelay > threshold
6668,ArrDelay > threshold
6704,"DepDelay > threshold, ArrDelay > threshold"
6788,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
7081,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
7226,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
7263,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
7292,DepDelay > threshold
7420,"ArrDelay > threshold, NASDelay > threshold"
7426,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
7436,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
7449,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
7603,"DepDelay > threshold, ArrDelay > threshold"
7616,"DepDelay > threshold, ArrDelay > threshold"
7662,"DepDelay > threshold, ArrDelay > threshold"
