ID,Reason
33,"DepDelay > threshold, ArrDelay > threshold"
63,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
113,"DepDelay > threshold, ArrDelay > threshold"
171,ArrDelay > threshold
289,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
422,"DepDelay > threshold, ArrDelay > threshold"
445,"DepDelay > threshold, ArrDelay > threshold"
474,"DepDelay > threshold, ArrDelay > threshold"
483,"DepDelay > threshold, ArrDelay > threshold"
499,"DepDelay > threshold, ArrDelay > threshold"
592,"DepDelay > threshold, ArrDelay > threshold"
615,DepDelay > threshold
673,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
754,"DepDelay > threshold, ArrDelay > threshold"
757,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
774,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
780,ArrDelay > threshold
899,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
929,"DepDelay > threshold, ArrDelay > threshold"
942,"DepDelay > threshold, ArrDelay > threshold"
1036,"DepDelay > threshold, ArrDelay > threshold"
1061,"DepDelay > threshold, ArrDelay > threshold"
1088,"DepDelay > threshold, ArrDelay > threshold"
1141,"DepDelay > threshold, ArrDelay > threshold"
1176,"DepDelay > threshold, ArrDelay > threshold"
1194,"DepDelay > threshold, ArrDelay > threshold"
1269,"DepDelay > threshold, ArrDelay > threshold"
1276,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1286,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1314,"DepDelay > threshold, ArrDelay > threshold"
1339,"DepDelay > threshold, ArrDelay > threshold"
1361,"DepDelay > threshold, ArrDelay > threshold"
1395,"DepDelay > threshold, ArrDelay > threshold"
1402,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1410,"DepDelay > threshold, ArrDelay > threshold"
1414,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1482,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1498,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1545,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1549,"DepDelay > threshold, ArrDelay > threshold"
1554,"DepDelay > threshold, ArrDelay > threshold"
1600,ArrDelay > threshold
1801,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1863,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1864,"DepDelay > threshold, ArrDelay > threshold"
1883,"DepDelay > threshold, ArrDelay > threshold"
1914,"DepDelay > threshold, ArrDelay > threshold"
1928,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1938,"DepDelay > threshold, ArrDelay > threshold"
1946,"DepDelay > threshold, ArrDelay > threshold"
1972,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1985,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1989,"DepDelay > threshold, ArrDelay > threshold"
2001,"DepDelay > threshold, ArrDelay > threshold"
2009,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2022,"DepDelay > threshold, ArrDelay > threshold"
2038,"DepDelay > threshold, ArrDelay > threshold"
2052,"DepDelay > threshold, ArrDelay > threshold"
2054,"DepDelay > threshold, ArrDelay > threshold"
2077,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2085,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2256,"DepDelay > threshold, ArrDelay > threshold"
2275,"DepDelay > threshold, ArrDelay > threshold"
2306,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2343,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2432,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2463,"DepDelay > threshold, ArrDelay > threshold"
2518,"DepDelay > threshold, ArrDelay > threshold"
2570,"DepDelay > threshold, ArrDelay > threshold"
2577,"DepDelay > threshold, ArrDelay > threshold"
2579,"DepDelay > threshold, ArrDelay > threshold"
2583,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
2585,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2906,ArrDelay > threshold
3119,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3144,"DepDelay > threshold, ArrDelay > threshold"
3154,"DepDelay > threshold, ArrDelay > threshold"
3161,"DepDelay > threshold, ArrDelay > threshold"
3180,"DepDelay > threshold, ArrDelay > threshold"
3194,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3208,"DepDelay > threshold, ArrDelay > threshold"
3209,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3217,DepDelay > threshold
3231,"DepDelay > threshold, ArrDelay > threshold"
3240,"DepDelay > threshold, ArrDelay > threshold"
3249,"DepDelay > threshold, ArrDelay > threshold"
3270,"DepDelay > threshold, ArrDelay > threshold"
3283,"DepDelay > threshold, ArrDelay > threshold"
3295,"DepDelay > threshold, ArrDelay > threshold"
3305,"DepDelay > threshold, ArrDelay > threshold"
3307,"DepDelay > threshold, ArrDelay > threshold"
3310,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3363,"DepDelay > threshold, ArrDelay > threshold"
3375,"DepDelay > threshold, ArrDelay > threshold"
3379,"DepDelay > threshold, ArrDelay > threshold"
3387,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3456,"DepDelay > threshold, ArrDelay > threshold"
3476,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3521,ArrDelay > threshold
3585,"DepDelay > threshold, ArrDelay > threshold"
3619,ArrDelay > threshold
3638,DepDelay > threshold
3655,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3673,"DepDelay > threshold, ArrDelay > threshold"
3675,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3691,"DepDelay > threshold, ArrDelay > threshold"
3733,"DepDelay > threshold, ArrDelay > threshold"
3734,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
3801,"ArrDelay > threshold, NASDelay > threshold"
3855,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3857,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3881,"DepDelay > threshold, ArrDelay > threshold"
3890,"DepDelay > threshold, ArrDelay > threshold"
3896,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3905,"DepDelay > threshold, ArrDelay > threshold"
3908,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3911,"DepDelay > threshold, ArrDelay > threshold"
3916,"DepDelay > threshold, ArrDelay > threshold"
3927,"DepDelay > threshold, ArrDelay > threshold"
3945,"DepDelay > threshold, ArrDelay > threshold"
3951,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3989,"DepDelay > threshold, ArrDelay > threshold"
3998,"DepDelay > threshold, ArrDelay > threshold"
4011,"DepDelay > threshold, ArrDelay > threshold"
4037,DepDelay > threshold
4044,"DepDelay > threshold, ArrDelay > threshold"
4046,"DepDelay > threshold, ArrDelay > threshold"
4078,"DepDelay > threshold, ArrDelay > threshold"
4412,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4437,"DepDelay > threshold, ArrDelay > threshold"
4593,"DepDelay > threshold, ArrDelay > threshold"
4600,"DepDelay > threshold, ArrDelay > threshold"
4653,"DepDelay > threshold, ArrDelay > threshold"
4680,"DepDelay > threshold, ArrDelay > threshold"
4706,DepDelay > threshold
4727,"DepDelay > threshold, ArrDelay > threshold"
4737,"DepDelay > threshold, ArrDelay > threshold"
4756,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4768,"DepDelay > threshold, ArrDelay > threshold"
4792,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4835,DepDelay > threshold
4868,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4874,"DepDelay > threshold, ArrDelay > threshold"
4875,"DepDelay > threshold, ArrDelay > threshold"
4970,"DepDelay > threshold, ArrDelay > threshold"
5169,"DepDelay > threshold, ArrDelay > threshold"
5184,"DepDelay > threshold, ArrDelay > threshold"
5205,"DepDelay > threshold, ArrDelay > threshold"
5239,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
5270,"DepDelay > threshold, ArrDelay > threshold"
5288,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
5335,DepDelay > threshold
5357,"DepDelay > threshold, ArrDelay > threshold"
5361,DepDelay > threshold
5362,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
5369,"DepDelay > threshold, ArrDelay > threshold"
5381,"DepDelay > threshold, ArrDelay > threshold"
5391,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
5476,"DepDelay > threshold, ArrDelay > threshold"
5540,DepDelay > threshold
5568,"DepDelay > threshold, ArrDelay > threshold"
5729,"DepDelay > threshold, ArrDelay > threshold"
5759,"DepDelay > threshold, ArrDelay > threshold"
5836,"DepDelay > threshold, ArrDelay > threshold"
5872,DepDelay > threshold
6004,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
6010,"DepDelay > threshold, ArrDelay > threshold"
6027,"DepDelay > threshold, ArrDelay > threshold"
6078,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
6080,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
6129,"DepDelay > threshold, ArrDelay > threshold"
6152,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
6161,"DepDelay > threshold, ArrDelay > threshold"
6163,"DepDelay > threshold, ArrDelay > threshold"
6167,"DepDelay > threshold, ArrDelay > threshold"
