ID,Reason
65,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
101,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
267,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
270,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
276,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
312,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
369,"DepDelay > threshold, ArrDelay > threshold"
370,ArrDelay > threshold
387,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
412,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
441,ArrDelay > threshold
443,"DepDelay > threshold, ArrDelay > threshold"
447,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
481,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
505,DepDelay > threshold
529,DepDelay > threshold
594,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
610,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
648,ArrDelay > threshold
649,"DepDelay > threshold, ArrDelay > threshold"
661,"DepDelay > threshold, ArrDelay > threshold"
709,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
717,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
722,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
733,"DepDelay > threshold, ArrDelay > threshold"
770,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
781,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
822,DepDelay > threshold
823,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
945,"DepDelay > threshold, ArrDelay > threshold"
946,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
1238,"DepDelay > threshold, ArrDelay > threshold"
1244,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1448,"DepDelay > threshold, ArrDelay > threshold"
1449,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1462,"DepDelay > threshold, ArrDelay > threshold"
1479,"DepDelay > threshold, ArrDelay > threshold"
1490,"DepDelay > threshold, ArrDelay > threshold"
1514,"DepDelay > threshold, ArrDelay > threshold"
1517,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1525,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1527,"DepDelay > threshold, ArrDelay > threshold"
1531,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1548,"DepDelay > threshold, ArrDelay > threshold"
1560,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1580,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1588,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1600,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1601,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1604,"DepDelay > threshold, ArrDelay > threshold"
1608,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1612,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1620,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1636,"DepDelay > threshold, ArrDelay > threshold"
1638,"DepDelay > threshold, ArrDelay > threshold"
1653,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1662,"DepDelay > threshold, ArrDelay > threshold"
1695,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1701,"DepDelay > threshold, ArrDelay > threshold"
1707,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1709,"DepDelay > threshold, ArrDelay > threshold"
1724,"DepDelay > threshold, ArrDelay > threshold"
1725,"DepDelay > threshold, ArrDelay > threshold"
1734,"DepDelay > threshold, ArrDelay > threshold"
1754,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1765,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1769,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1783,DepDelay > threshold
1794,ArrDelay > threshold
1802,"ArrDelay > threshold, NASDelay > threshold"
1838,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1847,"DepDelay > threshold, ArrDelay > threshold"
1853,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1858,"DepDelay > threshold, ArrDelay > threshold"
1889,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1893,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
