ID,Reason
29,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
53,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
87,"DepDelay > threshold, ArrDelay > threshold"
172,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
188,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
218,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
230,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
281,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
283,ArrDelay > threshold
362,DepDelay > threshold
467,DepDelay > threshold
472,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
473,DepDelay > threshold
474,"DepDelay > threshold, ArrDelay > threshold"
476,"DepDelay > threshold, ArrDelay > threshold"
477,"DepDelay > threshold, ArrDelay > threshold"
478,"DepDelay > threshold, ArrDelay > threshold"
479,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
488,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
489,"DepDelay > threshold, ArrDelay > threshold"
492,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
504,"DepDelay > threshold, ArrDelay > threshold"
510,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
541,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
563,"DepDelay > threshold, ArrDelay > threshold"
564,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
568,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
582,"DepDelay > threshold, ArrDelay > threshold"
586,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
587,"DepDelay > threshold, ArrDelay > threshold"
588,DepDelay > threshold
593,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
623,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
670,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
720,ArrDelay > threshold
723,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
750,"DepDelay > threshold, ArrDelay > threshold"
754,DepDelay > threshold
789,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
814,DepDelay > threshold
818,"DepDelay > threshold, ArrDelay > threshold"
841,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
866,DepDelay > threshold
869,"DepDelay > threshold, ArrDelay > threshold"
871,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
893,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
894,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
905,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
928,"DepDelay > threshold, ArrDelay > threshold"
942,"DepDelay > threshold, ArrDelay > threshold"
957,DepDelay > threshold
984,DepDelay > threshold
999,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1004,"DepDelay > threshold, ArrDelay > threshold"
1040,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1065,"DepDelay > threshold, ArrDelay > threshold"
1127,"DepDelay > threshold, ArrDelay > threshold"
1202,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1208,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1221,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1278,"DepDelay > threshold, ArrDelay > threshold"
1295,ArrDelay > threshold
1300,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1387,"DepDelay > threshold, ArrDelay > threshold"
1409,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1460,"DepDelay > threshold, ArrDelay > threshold"
1464,ArrDelay > threshold
1486,DepDelay > threshold
1521,"DepDelay > threshold, ArrDelay > threshold"
1543,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1556,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1573,"DepDelay > threshold, ArrDelay > threshold"
1621,DepDelay > threshold
1626,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1627,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1660,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1667,DepDelay > threshold
1682,"DepDelay > threshold, ArrDelay > threshold"
1685,"DepDelay > threshold, ArrDelay > threshold"
1693,"DepDelay > threshold, ArrDelay > threshold"
1698,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1796,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1800,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1815,"DepDelay > threshold, ArrDelay > threshold"
1839,"DepDelay > threshold, ArrDelay > threshold"
1842,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1856,DepDelay > threshold
1881,"DepDelay > threshold, ArrDelay > threshold"
1894,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1904,"DepDelay > threshold, ArrDelay > threshold"
1910,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1913,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1930,DepDelay > threshold
1933,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1936,"DepDelay > threshold, ArrDelay > threshold"
1937,"DepDelay > threshold, ArrDelay > threshold"
1949,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1952,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1956,"DepDelay > threshold, ArrDelay > threshold"
1966,"DepDelay > threshold, ArrDelay > threshold"
1974,"DepDelay > threshold, ArrDelay > threshold"
1986,"DepDelay > threshold, ArrDelay > threshold"
1990,ArrDelay > threshold
2014,DepDelay > threshold
2033,DepDelay > threshold
2045,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2046,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2050,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2056,"DepDelay > threshold, ArrDelay > threshold"
2079,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2080,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2091,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
