ID,Reason
26,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
32,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
53,"DepDelay > threshold, ArrDelay > threshold"
57,"DepDelay > threshold, ArrDelay > threshold"
83,"DepDelay > threshold, ArrDelay > threshold"
203,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
228,DepDelay > threshold
239,"DepDelay > threshold, ArrDelay > threshold"
261,DepDelay > threshold
263,ArrDelay > threshold
281,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
381,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
554,DepDelay > threshold
610,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
760,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
802,"DepDelay > threshold, ArrDelay > threshold"
831,"DepDelay > threshold, ArrDelay > threshold"
863,"DepDelay > threshold, ArrDelay > threshold"
869,"DepDelay > threshold, ArrDelay > threshold"
1005,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
1025,"DepDelay > threshold, ArrDelay > threshold"
1054,"DepDelay > threshold, ArrDelay > threshold"
1079,DepDelay > threshold
1191,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1234,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1264,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1278,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1299,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1305,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1339,"DepDelay > threshold, ArrDelay > threshold"
1362,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1435,"DepDelay > threshold, ArrDelay > threshold"
1452,DepDelay > threshold
1457,"DepDelay > threshold, ArrDelay > threshold"
1496,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
1553,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1570,"DepDelay > threshold, ArrDelay > threshold"
1571,DepDelay > threshold
1606,"DepDelay > threshold, ArrDelay > threshold"
1635,"DepDelay > threshold, ArrDelay > threshold"
1651,"DepDelay > threshold, ArrDelay > threshold"
1705,DepDelay > threshold
1724,"DepDelay > threshold, ArrDelay > threshold"
1749,"DepDelay > threshold, ArrDelay > threshold"
1771,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
1853,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
1876,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1884,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1925,"DepDelay > threshold, ArrDelay > threshold"
1980,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2039,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2062,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
2074,"DepDelay > threshold, ArrDelay > threshold"
2093,"DepDelay > threshold, ArrDelay > threshold"
2108,"DepDelay > threshold, ArrDelay > threshold"
2119,"DepDelay > threshold, ArrDelay > threshold"
2134,"ArrDelay > threshold, NASDelay > threshold"
2151,"DepDelay > threshold, ArrDelay > threshold"
2299,"DepDelay > threshold, ArrDelay > threshold"
2391,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
2395,"DepDelay > threshold, ArrDelay > threshold"
2398,"DepDelay > threshold, ArrDelay > threshold"
2424,"DepDelay > threshold, ArrDelay > threshold"
2427,"DepDelay > threshold, ArrDelay > threshold"
2456,ArrDelay > threshold
2481,"DepDelay > threshold, ArrDelay > threshold"
2519,"DepDelay > threshold, ArrDelay > threshold"
