ID,Reason
168,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
392,"ArrDelay > threshold, CarrierDelay > threshold"
403,DepDelay > threshold
429,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
435,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
438,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
444,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
481,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
657,DepDelay > threshold
702,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3006,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3064,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3094,"DepDelay > threshold, ArrDelay > threshold"
3124,"DepDelay > threshold, ArrDelay > threshold"
3227,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3229,"DepDelay > threshold, ArrDelay > threshold"
3420,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3657,"DepDelay > threshold, ArrDelay > threshold"
3797,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
3837,"DepDelay > threshold, ArrDelay > threshold"
3872,"DepDelay > threshold, ArrDelay > threshold"
3954,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4002,"DepDelay > threshold, ArrDelay > threshold"
4142,DepDelay > threshold
4419,"DepDelay > threshold, ArrDelay > threshold"
4509,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4552,"DepDelay > threshold, ArrDelay > threshold"
4562,"DepDelay > threshold, ArrDelay > threshold"
4584,"DepDelay > threshold, ArrDelay > threshold"
4756,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4886,"DepDelay > threshold, ArrDelay > threshold"
4935,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
4969,"DepDelay > threshold, ArrDelay > threshold"
5490,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
5802,"DepDelay > threshold, ArrDelay > threshold"
5867,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
5930,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
6049,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
6120,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
6270,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
6501,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
6565,DepDelay > threshold
6797,DepDelay > threshold
6980,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
7173,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
7271,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
7537,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
7689,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
7762,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
7833,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
8158,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
8284,"DepDelay > threshold, ArrDelay > threshold"
8326,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
8398,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
8463,"DepDelay > threshold, ArrDelay > threshold"
8464,"DepDelay > threshold, ArrDelay > threshold"
8539,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
8795,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
8885,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
9108,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
9111,"DepDelay > threshold, ArrDelay > threshold"
9115,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
9208,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
9397,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
9539,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
9784,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
10044,DepDelay > threshold
10072,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
10359,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
10400,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
10633,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
10703,ArrDelay > threshold
10966,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
10988,DepDelay > threshold
11275,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
11324,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
11503,ArrDelay > threshold
11529,"DepDelay > threshold, ArrDelay > threshold"
11752,DepDelay > threshold
12151,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
12189,ArrDelay > threshold
12190,"DepDelay > threshold, ArrDelay > threshold"
12338,ArrDelay > threshold
12517,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
12679,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
12853,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
12936,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
12969,"DepDelay > threshold, ArrDelay > threshold"
13044,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
13070,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
13150,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
13330,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
13394,ArrDelay > threshold
13557,DepDelay > threshold
13703,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
13976,"DepDelay > threshold, ArrDelay > threshold"
14081,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
14186,DepDelay > threshold
14240,ArrDelay > threshold
14352,DepDelay > threshold
14353,ArrDelay > threshold
14486,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
14582,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
14708,"DepDelay > threshold, ArrDelay > threshold"
15072,"DepDelay > threshold, ArrDelay > threshold"
15188,ArrDelay > threshold
15195,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
15269,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
15369,DepDelay > threshold
15390,"DepDelay > threshold, ArrDelay > threshold"
15862,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
15897,"DepDelay > threshold, ArrDelay > threshold"
15952,ArrDelay > threshold
16453,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
16562,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
16918,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
17258,"DepDelay > threshold, ArrDelay > threshold"
