Object,URL,Last_Modified,Timestamp,Size,Page
LCD_ACW00011647_2024.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2024/LCD_ACW00011647_2024.csv,2 months ago,2024/8/10 8:57,2 MB,1
LCD_AEI0000OMAA_2024.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2024/LCD_AEI0000OMAA_2024.csv,2 months ago,2024/8/10 8:57,2 MB,1
LCD_AEI0000OMAD_2024.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2024/LCD_AEI0000OMAD_2024.csv,2 months ago,2024/8/10 8:57,2 MB,1
LCD_AEI0000OMAL_2024.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2024/LCD_AEI0000OMAL_2024.csv,2 months ago,2024/8/10 8:57,2 MB,1
LCD_AEI0000OMDB_2024.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2024/LCD_AEI0000OMDB_2024.csv,2 months ago,2024/8/10 8:57,2 MB,1
LCD_AEI0000OMFJ_2024.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2024/LCD_AEI0000OMFJ_2024.csv,2 months ago,2024/8/10 8:56,4 MB,1
LCD_AEI0000OMSJ_2024.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2024/LCD_AEI0000OMSJ_2024.csv,2 months ago,2024/8/10 8:57,2 MB,1
LCD_AFM00038957_2024.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2024/LCD_AFM00038957_2024.csv,2 months ago,2024/8/10 8:56,713 KB,1
LCD_AFW00000472_2024.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2024/LCD_AFW00000472_2024.csv,2 months ago,2024/8/10 8:56,4 MB,1
LCD_AGI0000DAAP_2024.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2024/LCD_AGI0000DAAP_2024.csv,2 months ago,2024/8/10 8:57,2 MB,1
LCD_AGI0000DAAS_2024.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2024/LCD_AGI0000DAAS_2024.csv,2 months ago,2024/8/10 8:57,2 MB,1
LCD_AGI0000DAAV_2024.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2024/LCD_AGI0000DAAV_2024.csv,2 months ago,2024/8/10 8:57,2 MB,1
LCD_AGI0000DABP_2024.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2024/LCD_AGI0000DABP_2024.csv,2 months ago,2024/8/10 8:57,465 KB,1
LCD_AGI0000DABS_2024.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2024/LCD_AGI0000DABS_2024.csv,2 months ago,2024/8/10 8:57,2 MB,1
LCD_AGI0000DABT_2024.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2024/LCD_AGI0000DABT_2024.csv,2 months ago,2024/8/10 8:56,2 MB,1
LCD_AGI0000DAEF_2024.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2024/LCD_AGI0000DAEF_2024.csv,2 months ago,2024/8/10 8:57,196 KB,1
